Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Defect_of_vehicle,Road_allignment,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
12:52:00,Wednesday,Over 51,Male,2-5yr,Long lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,No distancing,Slight Injury
12:52:00,Wednesday,18-30,Male,2-5yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury
9:36:00,Saturday,18-30,Male,2-5yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the left,Slight Injury
9:36:00,Saturday,31-50,Male,5-10yr,Long lorry,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,No priority to vehicle,Slight Injury
9:36:00,Saturday,18-30,Male,5-10yr,Turbo,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Slight Injury
19:15:00,Saturday,18-30,Male,Above 10yr,Long lorry,No defect,Tangent road with flat terrain,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,No distancing,Serious Injury
19:15:00,Saturday,Over 51,Male,5-10yr,Long lorry,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,Moving Backward,Serious Injury
19:15:00,Saturday,Over 51,Male,5-10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Moving Backward,Serious Injury
11:20:00,Wednesday,31-50,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Rollover,2,2,Moving Backward,No distancing,Slight Injury
11:20:00,Wednesday,18-30,Male,,Automobile,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,No distancing,Slight Injury
11:20:00,Wednesday,18-30,Male,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,2,Going straight,No distancing,Slight Injury
22:10:00,Thursday,18-30,Male,5-10yr,,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,2,Going straight,No priority to pedestrian,Slight Injury
22:10:00,Thursday,18-30,Unknown,Below 1yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,2,Going straight,Driving carelessly,Slight Injury
22:10:00,Thursday,Over 51,Male,,,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,3,2,Going straight,Changing lane to the right,Slight Injury
17:20:00,Saturday,18-30,Male,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Changing lane to the left,Serious Injury
14:45:00,Saturday,31-50,Male,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury
14:45:00,Saturday,31-50,Male,Above 10yr,Long lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury
14:45:00,Saturday,31-50,Male,Above 10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury
18:25:00,Thursday,18-30,Male,Above 10yr,Bus,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight Injury
18:25:00,Thursday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
6:00:00,Tuesday,18-30,Male,Above 10yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight Injury
6:00:00,Tuesday,18-30,Male,Above 10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Parked,No distancing,Slight Injury
19:40:00,Thursday,Over 51,Male,5-10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,No distancing,Slight Injury
14:29:00,Wednesday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Overturning,Slight Injury
14:29:00,Wednesday,Over 51,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driving at high speed,Slight Injury
14:29:00,Wednesday,Over 51,Male,Below 1yr,Long lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,No priority to vehicle,Slight Injury
16:40:00,Tuesday,18-30,Male,2-5yr,Long lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,No priority to pedestrian,Slight Injury
16:40:00,Tuesday,18-30,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,No priority to vehicle,Slight Injury
16:40:00,Tuesday,18-30,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Turnover,Other,Slight Injury
19:02:00,Thursday,18-30,Male,,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Other,Slight Injury
13:33:00,Thursday,31-50,Male,5-10yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Serious Injury
13:33:00,Thursday,31-50,Male,Below 1yr,Special vehicle,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,No distancing,Serious Injury
11:30:00,Tuesday,18-30,Male,Below 1yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Moving Backward,Slight Injury
8:45:00,Friday,18-30,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,No priority to vehicle,Slight Injury
8:45:00,Friday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,Driving carelessly,Slight Injury
8:45:00,Friday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,No distancing,Slight Injury
17:50:00,Wednesday,18-30,Male,Below 1yr,Motorcycle,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Other,Slight Injury
17:50:00,Wednesday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Changing lane to the right,Slight Injury
17:50:00,Wednesday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Unknown,No distancing,Slight Injury
9:45:00,Friday,Over 51,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury
9:45:00,Friday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
9:50:00,Tuesday,31-50,Male,2-5yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,3,Going straight,No priority to vehicle,Slight Injury
9:50:00,Tuesday,31-50,Male,1-2yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Changing lane to the right,Slight Injury
9:50:00,Tuesday,31-50,Male,5-10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Reversing,No priority to pedestrian,Slight Injury
9:50:00,Tuesday,18-30,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,No priority to vehicle,Slight Injury
18:40:00,Thursday,18-30,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the left,Slight Injury
18:44:00,Tuesday,31-50,Male,,Bicycle,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,1,1,Going straight,Turnover,Slight Injury
19:33:00,Sunday,31-50,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Driving to the left,Serious Injury
19:33:00,Sunday,Over 51,Male,1-2yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driving carelessly,Serious Injury
19:33:00,Sunday,Under 18,Male,2-5yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driving to the left,Serious Injury
12:25:00,Thursday,Over 51,Male,1-2yr,Bus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driving carelessly,Slight Injury
12:25:00,Thursday,31-50,Male,5-10yr,Special vehicle,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,No priority to pedestrian,Slight Injury
19:00:00,Thursday,18-30,Male,Below 1yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driving carelessly,Slight Injury
19:00:00,Thursday,31-50,Male,Above 10yr,Bus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
20:00:00,Friday,Unknown,Female,5-10yr,,,Tangent road with mountainous terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,3,Going straight,Moving Backward,Serious Injury
20:00:00,Friday,Unknown,Female,Below 1yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,3,Going straight,Driving carelessly,Serious Injury
20:00:00,Friday,Unknown,Female,5-10yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,3,Reversing,Changing lane to the right,Serious Injury
13:50:00,Sunday,31-50,Male,5-10yr,Minibus,No defect,Sharp reverse curve,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Serious Injury
12:05:00,Friday,18-30,Male,2-5yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driving carelessly,Slight Injury
12:05:00,Friday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driving carelessly,Slight Injury
12:05:00,Friday,18-30,Male,5-10yr,Minibus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Parked,Changing lane to the right,Slight Injury
12:05:00,Friday,31-50,Unknown,1-2yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Changing lane to the right,Slight Injury
17:05:00,Wednesday,Over 51,Male,5-10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Serious Injury
17:05:00,Wednesday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with mild grade and flat terrain,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,2,1,Unknown,Overtaking,Serious Injury
20:40:00,Saturday,18-30,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
20:40:00,Saturday,31-50,Male,Below 1yr,Other,No defect,Sharp reverse curve,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
19:08:00,Thursday,18-30,Male,5-10yr,,No defect,Sharp reverse curve,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Stopping,Other,Serious Injury
19:16:00,Tuesday,Over 51,Male,5-10yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
19:16:00,Tuesday,31-50,Male,1-2yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Overtaking,Changing lane to the right,Slight Injury
9:55:00,Monday,Over 51,Male,,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight Injury
9:55:00,Monday,Over 51,Male,Above 10yr,Lorry,No defect,Tangent road with mountainous terrain,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Other,Slight Injury
19:00:00,Thursday,18-30,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driving to the left,Slight Injury
10:31:00,Sunday,31-50,Male,,,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight Injury
10:31:00,Sunday,31-50,Male,Above 10yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,No priority to vehicle,Slight Injury
12:37:00,Sunday,31-50,Unknown,2-5yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Moving Backward,Serious Injury
12:37:00,Sunday,31-50,Male,5-10yr,Lorry,,Steep grade upward with mountainous terrain,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Moving Backward,Other,Serious Injury
12:37:00,Sunday,Over 51,Male,Below 1yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,No priority to vehicle,Serious Injury
14:51:00,Sunday,18-30,Male,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,No priority to pedestrian,Slight Injury
14:51:00,Sunday,31-50,Male,Above 10yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight Injury
14:51:00,Sunday,31-50,Male,5-10yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Changing lane to the right,Slight Injury
7:50:00,Friday,18-30,Male,1-2yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Unknown,Changing lane to the right,Slight Injury
7:50:00,Friday,18-30,Male,,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving to the left,Slight Injury
20:39:00,Saturday,18-30,Male,1-2yr,Motorcycle,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the left,Slight Injury
20:39:00,Saturday,31-50,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Moving Backward,Slight Injury
20:39:00,Saturday,31-50,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,2,Turnover,Driving at high speed,Slight Injury
20:39:00,Saturday,18-30,Male,5-10yr,Minibus,,Steep grade downward with mountainous terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Moving Backward,Slight Injury
11:10:00,Tuesday,31-50,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,No distancing,Slight Injury
11:10:00,Tuesday,18-30,Male,Above 10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight Injury
17:19:00,Friday,18-30,Male,1-2yr,Lorry,No defect,,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,No priority to vehicle,Slight Injury
17:19:00,Friday,31-50,Male,5-10yr,Bus,No defect,Tangent road with mild grade and flat terrain,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Changing lane to the right,Slight Injury
16:56:00,Wednesday,18-30,Unknown,2-5yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Serious Injury
16:56:00,Wednesday,18-30,Male,,,,,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,No distancing,Serious Injury
1:02:00,Sunday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Serious Injury
7:46:00,Saturday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
7:46:00,Saturday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Moving Backward,Slight Injury
8:00:00,Wednesday,Over 51,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside-parked vehicles,3,1,Going straight,No distancing,Slight Injury
8:00:00,Wednesday,31-50,Male,1-2yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,3,1,Going straight,Moving Backward,Slight Injury
8:00:00,Wednesday,18-30,Male,No License,Automobile,No defect,Tangent road with flat terrain,Earth roads,Wet or damp,Daylight,Normal,Collision with animals,3,1,Going straight,No priority to pedestrian,Slight Injury
18:46:00,Saturday,Unknown,Female,1-2yr,Bus,No defect,Escarpment,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Changing lane to the left,Slight Injury
18:42:00,Thursday,18-30,Male,5-10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,No distancing,Slight Injury
8:45:00,Sunday,31-50,Male,Above 10yr,Automobile,No defect,Escarpment,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Other,Serious Injury
8:45:00,Sunday,31-50,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Moving Backward,No distancing,Serious Injury
21:40:00,Thursday,Under 18,Male,5-10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,No priority to pedestrian,Slight Injury
21:40:00,Thursday,Under 18,Male,2-5yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Moving Backward,Slight Injury
18:50:00,Thursday,31-50,Male,2-5yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Unknown,Collision with animals,2,1,Going straight,No priority to pedestrian,Slight Injury
18:50:00,Thursday,Under 18,Male,Below 1yr,Long lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Unknown,Collision with animals,2,1,Going straight,No distancing,Slight Injury
21:55:00,Saturday,18-30,Male,2-5yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,No priority to pedestrian,Slight Injury
21:55:00,Saturday,18-30,Male,2-5yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Moving Backward,Slight Injury
17:45:00,Friday,Over 51,Male,5-10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Raining,Other,2,1,Going straight,Overtaking,Slight Injury
17:45:00,Friday,31-50,Male,Above 10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,1,Going straight,Changing lane to the left,Slight Injury
8:28:00,Sunday,18-30,Male,,,,,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Collision with animals,2,1,Going straight,Changing lane to the right,Slight Injury
8:28:00,Sunday,Over 51,Male,2-5yr,Automobile,No defect,Tangent road with rolling terrain,Asphalt roads,Wet or damp,Daylight,Normal,Rollover,2,1,Going straight,Overtaking,Slight Injury
13:10:00,Monday,18-30,Male,5-10yr,,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,2,1,Going straight,Overloading,Slight Injury
13:10:00,Monday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,2,1,Going straight,Other,Slight Injury
13:55:00,Sunday,31-50,Male,,,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,No priority to vehicle,Slight Injury
13:55:00,Sunday,31-50,Male,1-2yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,4,Going straight,Changing lane to the right,Slight Injury
13:55:00,Sunday,Under 18,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,4,Going straight,Moving Backward,Slight Injury
13:55:00,Sunday,Under 18,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,4,Going straight,Changing lane to the left,Slight Injury
17:25:00,Saturday,18-30,Male,Below 1yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,No priority to pedestrian,Slight Injury
16:40:00,Sunday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Reversing,No distancing,Slight Injury
8:50:00,Tuesday,31-50,Male,Below 1yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,No priority to vehicle,Slight Injury
18:37:00,Wednesday,18-30,Male,5-10yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,2,Going straight,No distancing,Slight Injury
18:37:00,Wednesday,31-50,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,No distancing,Slight Injury
18:37:00,Wednesday,31-50,Male,Below 1yr,,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Unknown,Moving Backward,Slight Injury
7:50:00,Friday,Over 51,Male,,,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Changing lane to the right,Serious Injury
7:50:00,Friday,31-50,Male,Below 1yr,Automobile,7,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,No priority to pedestrian,Serious Injury
17:40:00,Thursday,18-30,Male,Below 1yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Moving Backward,Serious Injury
16:00:00,Tuesday,31-50,Male,,,5,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Getting off the vehicle improperly,Slight Injury
16:00:00,Tuesday,31-50,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Overtaking,Slight Injury
0:11:00,Sunday,Unknown,Female,Above 10yr,Minibus,No defect,Tangent road with mountainous terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Overloading,Slight Injury
0:11:00,Sunday,Under 18,Male,Above 10yr,Bus,No defect,Escarpment,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Unknown,Changing lane to the right,Slight Injury
17:10:00,Thursday,18-30,Male,5-10yr,Lorry,,Tangent road with mountainous terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Improper parking,Fatal injury
17:10:00,Thursday,18-30,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Fatal injury
15:00:00,Wednesday,18-30,Male,Below 1yr,Ridden horse,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Changing lane to the left,Serious Injury
15:00:00,Wednesday,31-50,Male,Below 1yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Turnover,Changing lane to the right,Serious Injury
8:20:00,Friday,Over 51,Male,2-5yr,Automobile,,Tangent road with mild grade and flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,No priority to pedestrian,Slight Injury
8:20:00,Friday,31-50,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Overspeed,Slight Injury
